Name,SAL_CODE,geo
1988,7990580,"list(c(28.2587238002186, 28.258717094696, 28.25880158428, 28.258806948698, 28.2587238002186, -25.874696025687, -25.8747201588763, -25.8747551519919, -25.8747310188098, -25.874696025687))"
1998,7990580,"list(c(28.2580294501197, 28.2580321323287, 28.2580817531954, 28.2580844354045, 28.2580294501197, -25.8767988545565, -25.8768181607646, -25.8768205740403, -25.8768000611946, -25.8767988545565))"
2002,7990580,"list(c(28.2581608783614, 28.2582051348101, 28.2581930648696, 28.2581501495253, 28.2581608783614, -25.8771994577275, -25.8772006643615, -25.8771572255296, -25.8771548122607, -25.8771994577275))"
2010,7990580,"list(c(28.2595409208351, 28.2595315331035, 28.2595731073433, 28.2595945650154, 28.2595731073433, 28.2595610374027, 28.2595409208351, -25.8780301902235, -25.8780422564782, -25.8780929347341, -25.878068802234, -25.8780434631035, -25.8780543227316, -25.8780301902235))"
2023,7990580,"list(c(28.2603133615614, 28.260328113711, 28.2603495713831, 28.2603375014425, 28.2603133615614, -25.8767632266276, -25.8767692598198, -25.8767318540233, -25.8767246141904, -25.8767632266276))"
2026,7990580,"list(c(28.2590884603028, 28.2590884603028, 28.259112600184, 28.259112600184, 28.2591528333192, 28.2591501511102, 28.2591729498868, 28.2591716087823, 28.2590884603028, -25.8771275356628, -25.8771492550862, -25.8771516683552, -25.8771733877742, -25.8771721811399, -25.8771528749897, -25.8771504617207, -25.8771275356628, -25.8771275356628))"
2032,7990580,"list(c(28.260067045855, 28.260061681437, 28.2601314188713, 28.2601394654984, 28.260067045855, -25.8763654571681, -25.8764028630806, -25.8764342357723, -25.8763944165853, -25.8763654571681))"
2045,7990580,"list(c(28.2603741587872, 28.2603728176827, 28.2604090275044, 28.2604076863999, 28.2603741587872, -25.8756740489743, -25.8756933553662, -25.8757054218596, -25.8756861154696, -25.8756740489743))"
2046,7990580,"list(c(28.2604774238343, 28.2604640127892, 28.2604894937748, 28.2605042459244, 28.2604774238343, -25.875482191533, -25.8755413174444, -25.8755509706516, -25.8754882247907, -25.875482191533))"
2065,7990580,"list(c(28.2592868679889, 28.2592815035709, 28.259300279034, 28.259305643452, 28.2592868679889, -25.8758913582627, -25.8759142845606, -25.8759215244432, -25.8758973914994, -25.8758913582627))"
2077,7990580,"list(c(28.2591460520156, 28.2591447109111, 28.2591876262553, 28.2591916495689, 28.2591460520156, -25.8749682694148, -25.8749863692655, -25.8749996424875, -25.8749851626088, -25.8749682694148))"
2080,7990580,"list(c(28.2596409195788, 28.2596409195788, 28.2597052925952, 28.2597079748042, 28.2596409195788, -25.874687118045, -25.8747148712143, -25.8747329711038, -25.8747136645549, -25.874687118045))"
2090,7990580,"list(c(28.2595853501568, 28.2596108311424, 28.2596269243965, 28.2596054667244, 28.2595853501568, -25.8735433463861, -25.8735542064278, -25.8735035262246, -25.8734950795219, -25.8735433463861))"
2091,7990580,"list(c(28.2596349710236, 28.2596296066055, 28.2596497231731, 28.2596537464867, 28.2596349710236, -25.8734854261467, -25.8735035262246, -25.8735119729266, -25.8734914595063, -25.8734854261467))"
2092,7990580,"list(c(28.2596416765461, 28.2596389943371, 28.2596778863678, 28.2596832507858, 28.2596416765461, -25.8735361063577, -25.8735578264415, -25.873569893153, -25.873550586414, -25.8735361063577))"
2109,7990580,"list(c(28.2608848804245, 28.2608741515884, 28.2609210902462, 28.2609331601868, 28.2609117025146, 28.2609036558876, 28.2608848804245, -25.8730101572297, -25.8730330840868, -25.873051184234, -25.8730222239972, -25.8730113639066, -25.8730222239972, -25.8730101572297))"
2127,7990487,"list(c(28.3379028897557, 28.3379176419053, 28.3379256885323, 28.3379122774873, 28.3379028897557, -25.8146297381203, -25.814636981755, -25.8146007635771, -25.8145959344859, -25.8146297381203))"
2132,7990487,"list(c(28.3402739625249, 28.3402820091519, 28.340300784615, 28.340295420197, 28.3402739625249, -25.8151283406073, -25.8151645586238, -25.8151573150214, -25.8151259260725, -25.8151283406073))"
2136,7990487,"list(c(28.3392669657509, 28.3392642835419, 28.339288423423, 28.339291105632, 28.3392669657509, -25.8161110146129, -25.816133952501, -25.8161351597582, -25.8161158436424, -25.8161110146129))"
2152,7990487,"list(c(28.3456508319909, 28.3456736307675, 28.3456789951855, 28.3456602197224, 28.3456508319909, -25.8158255306597, -25.8158339814815, -25.8158146653166, -25.8158062144934, -25.8158255306597))"
2182,7990487,"list(c(28.3518370936567, 28.3518370936567, 28.3519390175992, 28.3519390175992, 28.3518518458063, 28.3518518458063, 28.3518370936567, -25.8190970791414, -25.8191139803175, -25.8191151875442, -25.8190862140984, -25.8190837996442, -25.8190982863683, -25.8190970791414))"
2187,7990487,"list(c(28.3500832514472, 28.3500859336562, 28.3502736882872, 28.3502683238692, 28.3500832514472, -25.8180390865869, -25.8180620241016, -25.8180245997332, -25.8180052839255, -25.8180390865869))"
2213,7990487,"list(c(28.3545854763482, 28.3545613364671, 28.3545921818708, 28.3545760886167, 28.3546042518113, 28.3546069340203, 28.354637779424, 28.3546552137826, 28.3546283916925, 28.3546391205285, 28.3545854763482, -25.8189038802471, -25.8189654489059, -25.8189738995036, -25.8190161524832, -25.819025810305, -25.819011323572, -25.8190221886219, -25.8189690705907, -25.8189606199926, -25.8189231959082, -25.8189038802471))"
2222,7990487,"list(c(28.354040584669, 28.3540419257736, 28.3540580190276, 28.3540580190276, 28.354040584669, -25.8180588169902, -25.8181517742436, -25.818150567007, -25.8180600242277, -25.8180588169902))"
2235,7990487,"list(c(28.3512036620116, 28.3512009798026, 28.3512237785792, 28.3512264607882, 28.3512036620116, -25.8158585311611, -25.8158790545786, -25.8158814690981, -25.8158645674607, -25.8158585311611))"
2252,7990487,"list(c(28.3523306844177, 28.3523293433131, 28.3523494598808, 28.3523494598808, 28.3523306844177, -25.8152206325796, -25.8152399488414, -25.8152411561077, -25.8152218398461, -25.8152206325796))"
2254,7990487,"list(c(28.3525325982533, 28.3525312571488, 28.3526532976589, 28.3526532976589, 28.3525325982533, -25.8161506395147, -25.8161784064221, -25.8161784064221, -25.8161530540287, -25.8161506395147))"
