Name,SAL_CODE,geo
3696,9760023,"list(c(29.478865648386, 29.4788535784455, 29.478942091343, 29.4789541612835, 29.478865648386, -24.3147256982328, -24.3147391418288, -24.3147855833316, -24.3147745840298, -24.3147256982328))"
3706,9760023,"list(c(29.4796532530377, 29.4796545941422, 29.4799643892834, 29.4799603659699, 29.4796532530377, -24.3200712796939, -24.3200847227232, -24.3200016203375, -24.3199869552049, -24.3200712796939))"
3709,9760023,"list(c(29.4797645647118, 29.4797672469208, 29.4800073046276, 29.4800005991051, 29.4797645647118, -24.3201776017958, -24.3201910448138, -24.3201262738957, -24.3201128308708, -24.3201776017958))"
3716,1992356,"list(c(18.4817604071722, 18.4817684537992, 18.4817872292623, 18.4817778415308, 18.4817604071722, -33.947654199145, -33.947673111825, -33.947668661783, -33.9476497491021, -33.947654199145))"
3718,1992356,"list(c(18.4822002894506, 18.4822083360777, 18.4822378403769, 18.4822324759588, 18.4822002894506, -33.9468943509398, -33.9469054761454, -33.9468976885016, -33.9468854507742, -33.9468943509398))"
3726,7984023,"list(c(27.8702913268426, 27.8702926679471, 27.8703329010823, 27.8703302188733, 27.8703087612012, 27.8703087612012, 27.8702913268426, -26.4661731063421, -26.4662223290286, -26.4662199279224, -26.4662067218376, -26.4662055212843, -26.4661743068957, -26.4661731063421))"
3735,7984023,"list(c(27.8688523217061, 27.8688550039151, 27.8688778026918, 27.8688737793782, 27.8688523217061, -26.465715694517, -26.4657361040073, -26.4657325023328, -26.4657120928419, -26.465715694517))"
3743,2990378,"list(c(25.4819217854376, 25.4819217854376, 25.4820223682756, 25.4820223682756, 25.4819217854376, -33.9418918755493, -33.9419285908801, -33.9419352663931, -33.9418974384792, -33.9418918755493))"
3753,7992182,"list(c(28.1751148870627, 28.1751081815402, 28.1752101054827, 28.1752141287963, 28.1751148870627, -25.7039076980374, -25.7039342828077, -25.7039451583939, -25.7039209904233, -25.7039076980374))"
3758,7992182,"list(c(28.1740709714087, 28.1740709714087, 28.1740884057673, 28.1740897468718, 28.1740709714087, -25.7024211603065, -25.702440494927, -25.702440494927, -25.7024187434787, -25.7024211603065))"
3759,7992182,"list(c(28.1745564512404, 28.1745537690314, 28.1745913199576, 28.1745953432711, 28.1745564512404, -25.7024827893983, -25.7025009155957, -25.7025069576609, -25.7024876230512, -25.7024827893983))"
3769,7992182,"list(c(28.1767461993088, 28.1767461993088, 28.1768105723252, 28.1768105723252, 28.1767461993088, -25.703457567628, -25.703475693677, -25.7034817356927, -25.7034636096446, -25.703457567628))"
3796,5870029,"list(c(32.090266054905, 32.0902016818887, 32.0902767837411, 32.0903438389665, 32.090266054905, -28.6037048165452, -28.6037754620462, -28.6038272687167, -28.6037566232506, -28.6037048165452))"
3803,7984129,"list(c(27.8447424038197, 27.8447571559693, 27.8447719081189, 27.8447584970738, 27.8447424038197, -26.2763710789611, -26.276381901703, -26.2763746865418, -26.2763626612721, -26.2763710789611))"
3816,7983513,"list(c(27.9846229551659, 27.984636366211, 27.9846497772561, 27.9846350251065, 27.9846229551659, -26.0414701555456, -26.0414870248571, -26.0414773852508, -26.0414605159378, -26.0414701555456))"
3823,7983513,"list(c(27.9855121944381, 27.985509512229, 27.9855631564093, 27.9855618153048, 27.9855953429175, 27.985599366231, 27.9855121944381, -26.0380253269185, -26.0380867812042, -26.0380867812042, -26.0380578615443, -26.0380590665303, -26.0380253269185, -26.0380253269185))"
3826,7983513,"list(c(27.986299103866, 27.986312514911, 27.9863661590913, 27.9863527480463, 27.986299103866, -26.0412423543559, -26.0412580187472, -26.0412206651954, -26.0412013859381, -26.0412423543559))"
3835,7983513,"list(c(27.9871012345166, 27.9871039167256, 27.9871776774735, 27.98717365416, 27.9871012345166, -26.0382042555098, -26.0382247402441, -26.0382187153226, -26.0381946156337, -26.0382042555098))"
3836,7983513,"list(c(27.9870610013814, 27.9870462492318, 27.9870958700986, 27.9871079400391, 27.9870610013814, -26.0370293897649, -26.0370462597153, -26.0370884345807, -26.0370739746285, -26.0370293897649))"
3858,7983513,"list(c(27.9881948029441, 27.9881948029441, 27.9882149195117, 27.9882135784072, 27.9881948029441, -26.0319215209099, -26.031944416839, -26.0319456218878, -26.0319203158608, -26.0319215209099))"
3871,7983513,"list(c(27.9895100793326, 27.9895073971235, 27.9896254143202, 27.9896280965292, 27.9895100793326, -26.0279282258539, -26.0279547378317, -26.0279716090872, -26.0279487123827, -26.0279282258539))"
3875,7983513,"list(c(27.9895485963735, 27.9895620074186, 27.989629062644, 27.9896156515989, 27.9895485963735, -26.0266565027104, -26.0266962711059, -26.0266745792554, -26.0266360159559, -26.0266565027104))"
3878,7983513,"list(c(27.9891191894417, 27.9891218716508, 27.9891929501897, 27.9891808802491, 27.989156740368, 27.989162104786, 27.9891191894417, -26.0272549818581, -26.0272778786979, -26.0272622124396, -26.0272236493332, -26.0272296748194, -26.0272453410821, -26.0272549818581))"
3885,7983513,"list(c(27.9882595414525, 27.9882649058705, 27.9883105034238, 27.9883037979012, 27.9882595414525, -26.0280214210163, -26.0280503431506, -26.0280394973511, -26.028010575214, -26.0280214210163))"
3893,7983513,"list(c(27.9875854755138, 27.9876029098724, 27.9876565540527, 27.9876404607986, 27.9875854755138, -26.0271658046497, -26.0271971371901, -26.0271766505301, -26.0271477281803, -26.0271658046497))"
