SAL_CODE,african,coloured,indian,white,other
2650014,6,6,3,294,9
2650006,24,0,3,189,0
2660073,57,726,0,0,0
2660076,87,741,6,3,3
2660009,51,90,6,192,3
2660025,48,60,0,330,12
2660034,63,63,0,393,3
2660046,321,201,0,57,3
2660077,261,579,0,3,6
2660079,342,627,0,9,9
2660004,114,69,3,60,0
2660005,24,183,0,51,0
2660006,138,72,0,108,0
2660007,123,135,0,60,0
2660008,231,27,0,66,0
2660010,102,195,0,66,3
2660012,270,36,0,66,0
2660013,273,63,0,42,0
2660020,171,195,0,42,21
2660038,450,6,0,81,0
2660056,549,3,3,87,0
2660065,633,18,0,51,0
2660080,1104,471,24,132,0
2660081,1806,477,0,210,18
2660082,2253,294,0,276,27
2660083,2370,1092,0,561,39
2660017,3,411,3,0,3
2660070,51,687,0,0,6
2660021,435,6,0,0,3
2660027,462,9,0,0,0
2660037,519,15,3,0,0
2660044,552,18,0,0,0
2660053,612,3,0,0,12
2660058,630,3,0,0,18
2660061,657,0,0,3,0
2660062,636,21,0,0,9
2660063,648,18,3,0,3
2660067,696,15,0,0,3
2660016,378,39,0,0,0
2660019,408,21,0,0,3
2660028,462,3,0,0,12
2660031,438,54,0,0,3
2660042,534,30,0,0,3
2660001,96,6,0,0,0
2660022,432,9,0,0,0
2660024,435,9,0,0,3
2660003,96,51,3,78,3
2660002,159,0,0,0,0
2660011,363,3,0,0,0
2660032,498,0,0,0,3
2660035,507,3,9,3,6
2660039,537,0,0,0,12
2660041,549,0,0,3,9
2660048,54,528,0,0,9
2660057,132,507,0,0,6
2660066,708,3,3,0,0
2660071,702,42,0,3,3
2660015,408,3,0,0,0
2660023,441,3,0,0,0
2660026,447,6,0,0,9
2660029,474,3,0,0,0
2660030,468,3,0,0,12
2660033,492,3,0,12,3
2660036,504,6,0,0,15
2660047,576,0,0,0,12
2660049,597,3,0,0,0
2660050,552,51,3,0,0
2660051,609,0,0,0,0
2660052,609,6,0,0,0
2660055,621,0,0,3,15
2660059,648,3,0,0,0
2660064,669,3,0,0,9
2660068,705,6,0,0,0
2660074,828,0,0,0,0
2660075,696,24,0,111,3
2660014,78,312,0,0,3
2660018,327,102,0,0,3
