SAL_CODE,geoType,geoTypeNum,areaType,areaTypeNum
7601042,urban,1,residen_formal,1
7601043,urban,1,residen_formal,1
7601044,urban,1,residen_formal,1
7601045,urban,1,residen_formal,1
7601046,urban,1,residen_formal,1
7601047,urban,1,residen_formal,1
7601048,urban,1,residen_formal,1
7601049,urban,1,residen_informal,2
7601050,urban,1,residen_formal,1
7601051,urban,1,residen_informal,2
7601052,urban,1,residen_formal,1
7601053,urban,1,residen_formal,1
7601054,urban,1,residen_formal,1
7601055,urban,1,residen_informal,2
7601056,urban,1,residen_informal,2
7601057,urban,1,residen_formal,1
7601058,urban,1,residen_formal,1
7601059,urban,1,residen_formal,1
7601060,urban,1,residen_formal,1
7601061,urban,1,residen_formal,1
7601062,urban,1,residen_formal,1
7601063,urban,1,residen_formal,1
7601064,urban,1,residen_formal,1
7601065,urban,1,residen_formal,1
7601066,urban,1,residen_formal,1
7601067,urban,1,residen_formal,1
7601068,urban,1,residen_formal,1
7601069,urban,1,residen_formal,1
7601070,urban,1,residen_formal,1
7601071,urban,1,residen_informal,2
7601072,urban,1,residen_formal,1
7601073,urban,1,residen_formal,1
7601074,urban,1,residen_formal,1
7601075,urban,1,residen_informal,2
7601076,urban,1,residen_formal,1
7601077,urban,1,residen_informal,2
7601078,urban,1,residen_formal,1
7601079,urban,1,residen_formal,1
7601080,urban,1,residen_formal,1
7601081,urban,1,residen_formal,1
7601082,urban,1,residen_formal,1
7601083,urban,1,residen_formal,1
7601084,urban,1,residen_formal,1
7601085,urban,1,residen_formal,1
7601086,urban,1,residen_informal,2
7601087,urban,1,residen_informal,2
7601088,urban,1,residen_formal,1
7601089,urban,1,residen_informal,2
7601090,urban,1,residen_formal,1
7601091,urban,1,residen_informal,2
7601092,urban,1,residen_formal,1
7601093,urban,1,residen_informal,2
7601094,urban,1,residen_informal,2
7601095,urban,1,residen_informal,2
7601096,urban,1,residen_informal,2
7601097,urban,1,residen_formal,1
7601098,urban,1,residen_informal,2
7601099,urban,1,residen_informal,2
7601100,urban,1,residen_informal,2
7601101,urban,1,residen_formal,1
7601102,urban,1,residen_formal,1
7601103,urban,1,residen_formal,1
7601104,urban,1,residen_formal,1
7601105,urban,1,residen_formal,1
7601106,urban,1,residen_informal,2
7601107,urban,1,residen_informal,2
7601108,urban,1,residen_informal,2
7601109,urban,1,residen_informal,2
7601110,urban,1,residen_formal,1
7601111,urban,1,residen_informal,2
7601112,urban,1,residen_informal,2
7601113,urban,1,residen_formal,1
7601114,urban,1,residen_informal,2
7601115,urban,1,residen_formal,1
7601116,urban,1,residen_formal,1
7601117,urban,1,residen_informal,2
7601118,urban,1,residen_formal,1
7601119,urban,1,residen_informal,2
7601120,urban,1,residen_informal,2
7601121,urban,1,residen_formal,1
7601122,urban,1,residen_formal,1
7601123,urban,1,commercial,5
7601124,urban,1,residen_formal,1
7601125,urban,1,residen_informal,2
7601126,urban,1,residen_formal,1
7601127,urban,1,residen_formal,1
7601128,urban,1,residen_formal,1
7601129,urban,1,residen_informal,2
7601130,urban,1,residen_formal,1
7601131,urban,1,residen_informal,2
7601132,urban,1,residen_formal,1
7601133,urban,1,residen_formal,1
7601134,urban,1,residen_formal,1
7601135,urban,1,residen_formal,1
7601136,urban,1,collective,4
7610001,urban,1,vacant,7
7610003,urban,1,small_hold,9
7610004,urban,1,commercial,5
7610006,urban,1,small_hold,9
7610007,urban,1,small_hold,9
7610009,urban,1,small_hold,9
7610011,urban,1,small_hold,9
7610014,urban,1,small_hold,9
7610018,urban,1,small_hold,9
7610019,urban,1,small_hold,9
7610021,urban,1,small_hold,9
7610022,urban,1,small_hold,9
7610023,urban,1,small_hold,9
7610024,urban,1,small_hold,9
7610026,urban,1,residen_formal,1
7610027,urban,1,small_hold,9
7610029,urban,1,small_hold,9
7610030,urban,1,small_hold,9
7610032,urban,1,small_hold,9
7610033,urban,1,residen_formal,1
7610034,urban,1,small_hold,9
7610035,urban,1,small_hold,9
7610036,urban,1,small_hold,9
7610037,urban,1,residen_formal,1
7610038,urban,1,small_hold,9
7610039,urban,1,small_hold,9
7610040,urban,1,small_hold,9
7610041,urban,1,small_hold,9
7610042,urban,1,small_hold,9
7610044,urban,1,small_hold,9
7610045,urban,1,small_hold,9
7610047,urban,1,small_hold,9
7610048,urban,1,residen_formal,1
7610049,urban,1,small_hold,9
7610050,urban,1,small_hold,9
7610051,urban,1,residen_formal,1
7610052,urban,1,residen_formal,1
7610053,urban,1,small_hold,9
7610054,urban,1,small_hold,9
7610055,urban,1,residen_formal,1
7610056,urban,1,small_hold,9
7610057,urban,1,small_hold,9
7610058,urban,1,residen_formal,1
7610059,urban,1,small_hold,9
7610060,urban,1,small_hold,9
7610061,urban,1,small_hold,9
7610062,urban,1,small_hold,9
7610064,urban,1,residen_formal,1
7610065,urban,1,small_hold,9
